Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Raya        30 esp 40  3  2  2 23 338 300 300 300  20   0 1809   0  73  24   0   0   0   0   0   0   0   0 100
K_Arrizabalaga 31 esp 37  2  2  2 22 411 300 300 300   6   2  466   0  11  13   0   0   0   0   0   0   0   0 100
W_Saliba      25 fra  2 44 16  7 23 300 966 563 351  23   0 2151   0   0   0  25  12   6   1   1   2   6   0  100
G_Magalhaes   28 bra  2 38 16  7 22 300 394 599 362  20   0 1875   0   0   0  30  11   5   1   3   4   0   0  100
C_Mosquera    22 esp  2 38 14  6 22 300 727 409 303  23   0 2017   0   0   0  16   6   6   0   0   3   0   1  100
B_White       28 eng  2 36 19  9 22 300 623 470 346   9   1  729   1   0   0  10   5   1   0   1   3   0   0 100
J_Timber      25 ned  2 31 19  9 22 300 326 300 300   1   0   95   0   0   0   1   0   0   0   0   0   0   0 100
O_Zinchenko   29 ukr  2 33 24  9 22 300 375 377 308   5   1  404   0   0   0   3   4   3   0   0   1   0   0  100
R_Calafiori   24 ita  2 30 16  7 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Kiwior      26 pol  2 25 14  7 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_LewisSkelly 19 eng  2 38 16  6 21 300 422 536 315  20   3 1746   1   0   0  30   9   5   0   2   6   0   0  100
D_Rice        27 eng  2 19 43 19 24 300 632 749 499  22   0 1963   3   0   0  11  45  16   3   7   1   0   0  100
M_Odegaard    29 nor  2 16 45 29 24 300 563 397 529  23   0 2113   0   0   0  10  31  26   4   6   4   0   0  100
M_Merino      30 esp  2 21 40 26 22 300 565 989 540  22   8 1365   1   0   0   9  30  17   4   2   1   0   0  100
M_Zubimendi   27 esp  2 20 41 18 22 300 552 838 536  24   2 1775   2   0   0   8  51  16   4   6   2   0   0  100
C_Norgaard    32 den  2 19 37 14 22 300 316 359 295   2   1   74   1   0   0   1   2   1   0   1   3   0   0 100
A_SambiLokonga 26 bel  2 19 38 14 22 300 404 529 353   7   4  463   0   0   0   4  10   6   1   1   0   0   0 100
F_Vieira      26 por  2 20 39 18 22 300 397 593 346  14   7  863   0   0   0   4  15  13   0   0   2   0   0  100
E_Nwaneri     19 eng  2 14 20 14 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Saka          24 eng  2 16 24 43 25 300 467 549 547  21   0 1759   4   0   0   6   9  61  20   2   2   0   0  100
G_Martinelli  25 bra  2 16 28 40 24 300 352 360 476  13  11  524   0   0   0   2   3  23   3   0   0   0   0 100
L_Trossard    31 bel  2 14 16 38 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Nelson      26 eng  2 14 19 38 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Madueke     24 eng  2 15 21 39 24 300 299 319 305   2   2   76   0   0   0   0   1   2   0   0   0   0   0 100
G_Jesus       29 bra  2 14 26 37 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Havertz     27 ger  2 14 21 37 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Gyokeres    28 swe  2 14 22 41 24 300 338 432 555  18   5  996   2   0   0   1   6  20   5   0   1   0   0  100
A_Isak        26 sue  2 12 19 43 19 300 362 470 590  20   4 1566   0   0   0   2   8  33   5   0   2   0   0  100
