Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Donnarumma  27 ita 46  2  2  2 22 895 300 300 300   6   0  573   0  30   8   0   0   0   0   0   0   0   0 100
Diogo_Costa   26 por 41  1  1  1 21 349 300 300 300   2   0  190   0   4   3   0   0   0   0   0   0   0   0 100
L_Chevalier   24 fra 38  2  2  2 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Pacho       24 ecu  2 41  7  4 24 300 652 334 324   7   0  666   0   0   0  13   1   2   0   0   1   0   0  68
I_Zabarnyi    23 ukr  2 40  7  4 23 300 524 334 349   7   0  651   0   0   0   8   2   2   1   0   4   0   0  68
Marquinhos    32 bra  2 45  9  4 24 300 349 297 297   4   2  218   0   0   0   2   0   0   0   0   1   0   0 100
L_Beraldo     22 bra  2 35 14  4 22 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Mendes      24 por  2 43 16 12 25 300 533 497 352   8   0  763   0   0   0   9   7   6   1   2   0   0   0  68
L_Hernández  30 fra  2 41 19 12 24 300 323 317 297   3   1  193   0   0   0   1   1   0   0   0   1   0   0  68
A_Hakimi      27 mar  2 43 27 14 25 300 576 430 313   6   0  560   0   0   0  11   7   5   0   0   0   0   0 100
Vitinha       26 por  2 21 44 16 25 300 433 756 341   8   0  725   0   0   0   4  17   4   0   3   1   0   0  80
J_Neves       21 por  2 24 45 16 24 300 378 529 412   7   0  666   0   0   0   3  10  10   2   1   0   0   0  68
W_ZaireEmery  20 fra  2 21 40 16 25 300 356 630 381   8   0  763   0   0   0   1  15   4   1   0   1   0   0  68
Nico_Paz      21 arg  2 16 39 21 20 300 316 548 337   7   0  627   0   0   0   1  10   8   1   2   3   0   0  68
F_Ruiz        30 esp  2 19 40 16 24 300 297 337 302   1   1   38   0   0   0   0   2   1   0   0   1   0   0  85
C_Soler       29 esp  2 19 35 14 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Asensio     30 esp  2 16 40 33 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Barcola     23 fra  2 16 21 40 25 300 314 354 387   3   0  287   0   0   0   0   2  14   1   0   1   0   0 100
O_Dembele     29 fra  2 16 38 45 26 300 326 420 545   6   1  448   1   0   0   1   6  22   5   0   0   0   0 100
D_Doue        21 fra  2 16 33 42 25 300 349 515 649   8   0  763   3   0   0   2   8  30   7   2   1   0   0  68
G_Ramos       25 por  2 14 28 35 25 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafael_Leao   27 por  2 18 20 44 11 300 323 357 345   3   1  203   0   0   0   1   3   5   1   0   1   0   0  68
