Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Urbig       23 ger 27  2  2  2 23 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Neuer       40 ger 43  2  2  2 22 339 300 300 300  26   0 2471   0 156  58   0   0   0   0   0   0   0   0 100
L_Klanc       19 ger 23  2  2  2 21 305 300 300 300   1   0   92   0   2   3   0   0   0   0   0   0   0   0 100
D_Upamecano   28 fra  2 41 14  4 25 300 857 431 323  16   2 1248   0   0   0  21   6   4   0   0   1   1   0  100
J_Tah         30 ger  2 36 14  4 24 300 778 463 330  16   2 1375   0   0   0  17   6   4   0   1   1   0   0 100
H_Ito         27 jpn  2 39 14  4 24 300 706 359 290  10   1  784   0   0   0  16   2   0   0   1   3   0   0  100
A_Davies      25 can  2 42 21  9 28 300 393 620 377  26   0 2468   0   0   0  30  15  15   1   1   2   0   0  100
R_Guerreiro   32 por  2 41 18 14 26 300 656 388 350  10   2  677   0   0   0  11   2   2   0   0   1   0   0 100
J_Stanisic    26 cro  2 38 16  7 24 300 425 335 335   7   0  642   0   0   0   5   2   1   1   0   1   0   0  100
K_Laimer      29 aut  2 29 41 14 25 300 503 854 439  15   2 1154   1   0   0   6  21   6   2   3   1   0   0  100
S_Boey        25 fra  2 40 19  7 24 300 863 663 340  27   1 2543   0   0   0  46  17   5   0   0   2   0   0  100
A_Pavlovic    22 ger  2 21 37 12 25 300 524 851 539  26   0 2440   1   0   0   9  50  18   5   9   2   0   0  100
Xavi_Simmons  23 hol  2 18 44 27 21 300 532 707 653  25   0 2328   1   0   0   9  54  45   6   1   6   0   1 100
J_Kimmich     31 ger  2 19 43 14 26 300 359 602 451  14   1 1080   0   0   0   1  12  12   2   1   0   0   0  100
T_Bischof     21 ger  2 16 32 12 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_DeBruyne    35 bel  2 18 45 26 20 300 447 815 398  15   2 1278   0   0   0   5  22  14   1   2   5   3   0  100
J_Musiala     23 ger  2 14 44 21 28 300 428 407 552  25   0 2372   3   0   0   4  64  28   4   7   3   0   0  100
P_Wanner      21 aut  2 14 36 14 25 300 352 400 306   4   1  259   0   0   0   2   5   2   0   0   0   0   0 100
L_Kraft       24 ger  2 12 30 16 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Diaz        29 col  2 12 26 42 28 300 313 605 581  16   8 1008   0   0   0   1  13  38   5   2   4   0   0 100
M_Olise       24 fra  2  9 21 41 27 300 445 744 374  27   1 2496   6   0   0   5  20  99  12   1   0   0   0  100
H_Kane        33 eng  2  9 19 45 28 300 323 397 861  20   7 1335   1   0   0   1   5  58  10   0   6   0   0  100
J_KusiAsare   19 den  2  7 16 32 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
