Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Martinez    28 ven 40  3  2  2 21 306 300 300 300  22   0 2096   0  78  35   0   0   0   0   0   1   0   0 100
Y_Sommer      36 sui 35  2  2  2 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_DeGennaro   32 ita 15  2  2  2 16 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bastoni     27 ita  2 45 16  4 24 300 565 557 383  21   0 1917   0   0   0  34  11   3   1   0   3   0   0  100
Y_Bisseck     25 ger  2 38 14  4 23 300 388 499 330  20   0 1905   1   0   0  29   9   1   1   1   3   0   0  100
B_Pavard      30 fra  2 40 19  9 23 300 937 666 325  20   0 1862   0   0   0  23  16   4   0   1   5   0   0 100
S_DeVrij      34 ned  2 36 16  4 21 300 914 534 321  21   1 1861   1   0   0  23   8   1   0   2   0   0   0  100
T_Palacios    22 arg  2 31 16  7 20 300 300 300 300   2   1   30   0   0   0   0   0   0   0   0   0   0   0 100
F_Acerbi      38 ita  2 27 16  4 18 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Dimarco     28 ita  2 33 36 14 24 300 546 601 326  18   3  908   0   0   0   9  13   6   0   1   1   0   0  100
C_Augusto     27 bra  2 31 32 14 23 300 326 300 347   1   0   96   0   0   0   1   0   4   1   0   0   0   0 100
D_Dumfries    30 ned  2 33 31 16 24 300 364 412 373  15  13  744   0   0   0   2   5   6   1   0   1   0   0  100
M_Darmian     36 ita  2 30 31 14 21 300 374 300 316   1   0   96   0   0   0   2   0   4   0   0   0   0   0 100
H_Calhanoglu  32 tur  2 19 40 19 25 300 495 331 438  20   0 1801   0   0   0   7  33  15   2   2   1   0   0  100
P_Sucic       23 cro  2 12 36 21 23 300 330 699 387  13  11  504   1   0   0   0  17   6   1   1   1   0   0 100
K_Asllani     22 alb  2 14 32 19 22 300 300 320 301   1   0   45   0   0   0   0   1   1   0   0   0   0   0 100
N_Barella     29 ita  2 25 43 24 25 300 486 473 388  20   0 1903   0   0   0   7  42  13   1   1   4   0   0  100
D_Fratessi    26 ita  2 21 38 21 24 300 397 722 400  19   3 1427   2   0   0   4  20  13   2   1   2   0   0  100
P_Zielinski   32 pol  2 21 38  9 23 300 503 564 301  16   4 1094   0   0   0   8  12   2   0   1   1   0   0  100
H_Mkhitaryan  37 arm  2 21 35  9 21 300 300 409 302   2   1  134   0   0   0   0   4   2   0   1   0   0   0 100
L_Henrique    25 bra  2 26 32 21 23 300 326 320 351   1   1   51   0   0   0   1   1   4   1   0   0   0   0 100
L_Martinez    28 arg  2 16 26 44 26 300 526 561 774  21   0 2000   3   0   0   9  12  61   8   1   2   0   0  100
M_Thuram      29 fra  2 16 28 40 25 300 429 525 568  13   0 1239   1   0   0   4  10  27   4   0   3   0   0  100
E_Sebastiano  23 ita  2 14 24 36 22 300 391 413 387  11   0  788   1   0   0   3   5  11   1   0   1   0   0  100
A_Bonny       22 civ  2 14 24 33 22 300 300 300 300   2   2   55   0   0   0   0   0   0   0   0   0   0   0 100
M_Taremi      34 irn  2 14 26 35 21 300 322 396 487   9   7  398   1   0   0   1   5  15   4   0   1   0   0 100
